Nombre,Part,Titular,Min,JPar,Media,Disparos,TaP,DsR,% disparos,% conv,Gol,xG,xG- SP,xG- HR,GlEq
Gabriel Jesus,22 (1),22,1787,0,6.89,48,27,1,56%,15%,7,"6,16","6,16","0,84",25
Lautaro Martínez,13 (2),13,986,0,6.80,47,19,0,40%,11%,5,"4,51","4,51","0,49",16
Memphis Depay,21 (1),21,1626,1,7.10,60,29,0,48%,20%,12,"11,97","10,37","0,03",28
Victor Osimhen,20,20,1413,0,6.88,48,30,0,63%,17%,8,"5,52","5,52","2,48",19
Tammy Abraham,17 (1),17,1404,1,6.99,54,22,1,41%,11%,6,"6,27","6,27","-0,27",19
Dušan Vlahović,20,20,1700,3,7.14,80,48,0,60%,15%,12,"8,82","8,82","3,18",27
Sadio Mané,21 (1),21,1700,2,7.19,64,36,0,56%,20%,13,"9,23","9,23","3,77",37
Richarlison,2 (12),2,491,1,6.81,21,10,0,48%,19%,4,"1,6","1,6","2,4",9
Vitinha,21 (1),21,1743,0,6.83,79,43,0,54%,11%,9,"7,47","7,47","1,53",20
Alexander Isak,9 (9),9,829,1,7.13,37,19,0,51%,16%,6,"4,29","4,29","1,71",18
Darwin Núñez,22 (2),22,1867,1,6.99,49,26,0,53%,29%,14,"3,51","3,51","10,49",41
Iñaki Williams,18,18,1558,1,6.79,35,17,3,49%,9%,3,"4,22","4,22","-1,22",21
Karim Adeyemi,16 (2),16,1276,0,6.74,31,12,0,39%,13%,4,"3,14","3,14","0,86",22
João Félix,19 (5),19,1206,2,7.11,37,14,0,38%,14%,5,"4,29","4,29","0,71",25
Cody Gakpo,7 (15),7,772,0,7.04,36,11,0,31%,6%,2,"4,18","4,18","-2,18",22
Romelu Lukaku,15 (3),15,1106,1,7.08,42,22,0,52%,17%,7,"4,57","4,57","2,43",19
Timo Werner,23,23,1940,2,6.99,75,33,0,44%,12%,9,"9,34","9,34","-0,34",36
�?lvaro Morata,15 (2),15,1192,4,7.49,61,29,0,48%,16%,10,"9,79",9,"0,21",24
Bryan Mbeumo,20,20,1730,3,7.17,44,14,0,32%,7%,3,"5,73","5,73","-2,73",16
Breel Embolo,20 (1),20,1606,3,7.26,33,11,0,33%,15%,5,"4,14","4,14","0,86",33
Patrik Schick,5 (1),5,429,0,7.15,20,13,0,65%,30%,6,"2,28","2,28","3,72",10
Matheus Cunha,19,19,1290,0,6.74,30,18,0,60%,17%,5,"3,29","3,29","1,71",18
Gianluca Scamacca,22 (1),22,1661,1,6.86,52,26,0,50%,21%,11,"6,02","6,02","4,98",20
Callum Wilson,14 (4),14,1275,1,6.94,55,23,0,42%,9%,5,"6,04","6,04","-1,04",16
Jérémy Doku,1 (10),1,271,0,6.68,9,4,0,44%,11%,1,"0,43","0,43","0,57",5
Serge Gnabry,19 (2),19,1420,1,7.11,65,33,0,51%,11%,7,"8,22","6,6","-1,22",31
Kelechi Iheanacho,12 (7),12,1227,0,6.74,38,19,0,50%,13%,5,"3,86","3,86","1,14",18
Arkadiusz Milik,14 (6),14,1193,0,6.83,54,22,0,41%,11%,6,"5,31","5,31","0,69",18
Julián �?lvarez,7 (16),7,996,0,6.98,53,26,0,49%,11%,6,"8,03","8,03","-2,03",21
Youssoufa Moukoko,1 (13),1,306,0,6.64,21,8,0,38%,5%,1,"1,7","1,7","-0,7",3
Jonathan David,17,17,1270,0,6.81,29,13,0,45%,14%,4,"3,4","3,4","0,6",20
Dominic Calvert-Lewin,11,11,898,0,6.72,38,18,0,47%,11%,4,"6,04","6,04","-2,04",12
Diogo Jota,2 (7),2,247,0,6.93,16,8,0,50%,13%,2,"2,51","2,51","-0,51",5
Roberto Firmino,1 (18),1,412,0,6.87,16,9,0,56%,13%,2,"2,25","2,25","-0,25",10
Wilfried Zaha,17,17,1444,1,7.21,55,24,0,44%,9%,5,"5,67","5,67","-0,67",25
Randal Kolo Muani,23,23,1759,0,6.85,75,40,0,53%,8%,6,"8,09","7,28","-2,09",23
Youssef En-Nesyri,19 (3),19,1540,4,7.33,78,44,0,56%,21%,16,"11,04","11,04","4,96",30
Ansu Fati,18 (4),18,1371,0,6.85,43,13,1,30%,9%,4,"6,37","6,37","-2,37",23
Ivan Toney,19,19,1548,1,6.86,58,19,0,33%,7%,4,"5,46","5,46","-1,46",13
Mislav Oršić,20,20,1426,0,6.93,23,2,0,9%,4%,1,"2,14","2,14","-1,14",21
Armando Broja,2 (7),2,291,0,6.96,8,5,0,63%,25%,2,"0,88","0,88","1,12",5
Aleksandar Mitrović,22,22,1809,0,6.79,77,35,0,45%,12%,9,"9,24","9,24","-0,24",25
Mathys Tel,1 (14),1,368,0,6.89,24,10,0,42%,17%,4,"2,62","2,62","1,38",8
Wout Weghorst,17 (2),17,1408,1,7.11,69,33,0,48%,13%,9,"7,72","7,72","1,28",28
Jhon Durán,9 (11),9,851,0,6.66,30,11,0,37%,13%,4,"5,19","5,19","-1,19",13
Ollie Watkins,21,21,1816,0,6.90,69,29,0,42%,10%,7,"6,42","6,42","0,58",27
Patson Daka,8 (12),8,809,0,6.68,19,6,0,32%,11%,2,"2,14","2,14","-0,14",9
Gerard Moreno,18 (1),18,1358,1,6.85,40,18,0,45%,20%,8,"3,82","3,82","4,18",22
Elye Wahi,14 (2),14,1076,1,6.94,33,15,0,45%,18%,6,"3,03","3,03","2,97",12
Datro Fofana,2 (15),2,508,1,7.03,28,16,0,57%,18%,5,"2,46","2,46","2,54",10
Evan Ferguson,3 (13),3,472,0,6.64,17,8,0,47%,18%,3,"2,69","1,88","0,31",7
Dominic Solanke,16,16,1214,1,6.68,38,14,0,37%,8%,3,"3,22","3,22","-0,22",12
Moise Kean,0 (12),-0,283,0,6.81,10,4,0,40%,20%,2,"0,64","0,64","1,36",4
Paul Onuachu,1 (14),1,338,0,6.75,15,11,0,73%,13%,2,"0,88","0,88","1,12",5
Arnaud Kalimuendo,1 (12),1,425,0,6.73,23,12,0,52%,17%,4,"3,33","3,33","0,67",8
Anthony Martial,3 (9),3,466,0,7.00,27,15,0,56%,19%,5,"3,07","3,07","1,93",14
Amine Gouiri,22 (1),22,1622,1,6.97,64,30,0,47%,13%,8,"9,07","9,07","-1,07",26
Wilfried Gnonto,22,22,1612,1,6.78,45,22,1,49%,18%,8,"5,96","5,96","2,04",23
Georginio Rutter,1 (14),1,386,0,6.70,13,6,0,46%,23%,3,"0,97","0,97","2,03",5
André Silva,1 (14),1,350,0,6.97,20,13,0,65%,30%,6,"2,13","2,13","3,87",10
Danny Ings,1 (12),1,356,0,6.68,16,9,0,56%,19%,3,"1,57","1,57","1,43",4
Folarin Balogun,17,17,1344,1,6.62,41,16,0,39%,10%,4,"4,85","4,04","-0,85",19
Brennan Johnson,14,14,1105,0,6.64,28,12,0,43%,11%,3,"6,01","6,01","-3,01",9
Patrick Bamford,18 (2),18,1404,1,7.04,62,27,0,44%,11%,7,"6,02","6,02","0,98",21
Umar Sadiq,20 (2),20,1742,4,7.35,66,43,0,65%,24%,16,"10,05","10,05","5,95",36
Adam Hložek,7 (14),7,710,1,6.88,19,11,0,58%,16%,3,"1,93","1,93","1,07",11
Eddie Nketiah,6 (12),6,761,1,7.03,22,13,0,59%,32%,7,"3,5","3,5","3,5",16
Karim Benzema,21 (1),21,1690,8,7.57,60,36,0,60%,35%,21,"14,93","9,38","6,07",40
Che Adams,18 (1),18,1455,0,6.86,59,31,1,53%,14%,8,"8,19","8,19","-0,19",19
Terem Moffi,10 (6),10,871,0,6.85,38,14,0,37%,13%,5,"4,53","4,53","0,47",15
Taiwo Awoniyi,12 (3),12,868,0,6.69,16,9,0,56%,13%,2,"1,39","1,39","0,61",7
Rasmus Højlund,0 (8),-0,197,0,6.80,10,5,0,50%,20%,2,"1,12","1,12","0,88",2
Giacomo Raspadori,0 (15),-0,399,0,6.85,16,9,0,56%,19%,3,"1,59","1,59","1,41",6
Nicolas Jackson,7 (14),7,881,1,6.94,34,14,1,41%,3%,1,"5,65","5,65","-4,65",18
Gaëtan Laborde,16 (1),16,1380,0,7.26,51,27,0,53%,16%,8,"5,93","5,12","2,07",30
Andrea Pinamonti,15,15,1143,0,6.88,25,15,0,60%,28%,7,"2,81","2,81","4,19",15
Martin Terrier,21 (1),21,1624,1,6.84,62,32,0,52%,15%,9,"7,65","7,65","1,35",24
